table_name,non_unique,key_name,seq_in_index,column_name,collation,cardinality,sub_part,packed,null,index_type,comment,index_comment,visible,expression
game_entity,0,PRIMARY,1,game_id,A,492590,,,,BTREE,,,YES,
game_entity,0,uq_game_place_time,1,place_name,A,410843,,,,BTREE,,,YES,
game_entity,0,uq_game_place_time,2,address,A,451612,,,,BTREE,,,YES,
game_entity,0,uq_game_place_time,3,start_date_time,A,431017,,,,BTREE,,,YES,
game_entity,0,uq_game_place_time,4,end_date_time,A,409582,,,,BTREE,,,YES,
game_entity,1,FK5w99jeemscmsr3qh6tfrk6pff,1,user_entity_user_id,A,996,,,,BTREE,,,YES,
